NovelId,NovelName
0,106_the_poor_millers_boy_and_the_cat
1,114_the_cunning_little_tailor
2,11_little_brother_and_little_sister
3,13_the_three_little_men_in_the_wood
4,163_the_glass_coffin
5,16_the_three_snake-leaves
6,22_the_riddle
7,29_the_devil_with_the_three_golden_hairs
8,30_the_louse_and_the_flea
9,35_the_tailor_in_heaven
10,3_our_ladys_child
11,49_the_six_swans
12,73_the_wolf_and_the_fox
13,80_the_death_of_the_little_hen
14,82_gambling_hansel
15,87_the_poor_man_and_the_rich_man
16,90_the_young_giant
17,91_the_gnome
18,96_the_three_little_birds
19,ashputtel
20,briar_rose
21,cat-skin
22,cat_and_mouse_in_partnership
23,clever_elsie
24,clever_gretel
25,clever_hans
26,doctor_knowall
27,first_story
28,frederick_and_catherine
29,fundevogel
30,hansel_and_gretel
31,hans_in_luck
32,iron_hans
33,jorinda_and_jorindel
34,king_grisly-beard
35,lily_and_the_lion
36,little_red-cap_[little_red_riding_hood]
37,mother_holle
38,old_sultan
39,rapunzel
40,rumpelstiltskin
41,second_story
42,snowdrop
43,sweetheart_roland
44,the_adventures_of_chanticleer_and_partlet
45,the_blue_light
46,the_dog_and_the_sparrow
47,the_elves_and_the_shoemaker
48,the_fisherman_and_his_wife
49,the_four_clever_brothers
50,the_fox_and_the_cat
51,the_fox_and_the_horse
52,the_frog-prince
53,the_golden_bird
54,the_golden_goose
55,the_juniper-tree
56,the_king_of_the_golden_mountain
57,the_little_peasant
58,the_miser_in_the_bush
59,"the_mouse,_the_bird,_and_the_sausage"
60,the_old_man_and_his_grandson
61,the_pink
62,the_queen_bee
63,the_raven
64,the_robber_bridegroom
65,the_salad
66,the_seven_ravens
67,the_story_of_the_youth_who_went_forth_to_learn_what_fear_was
68,"the_straw,_the_coal,_and_the_bean"
69,the_three_languages
70,the_travelling_musicians
71,the_turnip
72,the_twelve_dancing_princesses
73,the_twelve_huntsmen
74,the_valiant_little_tailor
75,the_water_of_life
76,the_white_snake
77,the_willow-wren_and_the_bear
78,the_wolf_and_the_seven_little_kids
79,tom_thumb
80,almshous
81,angel
82,anne_lis
83,apple_br
84,a_story
85,beauty
86,beetle
87,bell
88,belldeep
89,bishop_b
90,bottle_n
91,buckwhet
92,butterfl
93,cheerful
94,child_in
95,cock
96,daisy
97,darning
98,delayingREMLASTUNTAGSENT
99,drop_wat
100,dullard
101,dumbbook
102,elfin_hi
103,elf_rose
104,emperor
105,fir_tree
106,flax
107,flying_t
108,friendsh
109,goblin
110,golden
111,goloshes
112,good_for
113,grandmot
114,great_gr
115,happy_fa
116,heaven
117,holger_d
118,ib_and_l
119,jumper
120,last_dre
121,last_pea
122,li_claus
123,li_elder
124,li_ida_f
125,li_match
126,li_tiny
127,li_tuk
128,lovelies
129,mailcoac
130,metal_pi
131,moneybox
132,neighbor
133,nighting
134,no_doubt
135,nursery
136,old_bach
137,old_chur
138,old_grav
139,old_hous
140,popular
141,por_duck
142,races
143,red_shoe
144,shirtcol
145,snow_man
146,somethin
147,storks
148,storm_sh
149,swineher
150,the_toad
151,the_wind
152,tinderbx
153,tin_sold
154,top_ball
155,ugly_duc
156,wicked_p
157,ginger_and_pickles
158,he_tale_of_squirrel_nutkinMANCORR
159,the_pie_and_the_patty-pan
160,the_roly-poly_pudding
161,the_story_of_a_fierce_bad_rabbit
162,the_story_of_miss_moppet
163,the_tailor_of_gloucester
164,the_tale_of_benjamin_bunny
165,the_tale_of_jemima_puddle-duck
166,the_tale_of_mrs_tiggy-winkleMANCORR
167,the_tale_of_mrs_tittlemouse
168,the_tale_of_mr_jeremy_fisher
169,the_tale_of_mr_tod
170,the_tale_of_peter_rabbit
171,the_tale_of_pigling_bland
172,the_tale_of_the_flopsy_bunnies
173,the_tale_of_timmy_tiptoes
174,the_tale_of_tom_kitten
175,the_tale_of_two_bad_mice
